rank,name,handle,group,role,followers,following,connections,in_degree,out_degree,cross_follow_count,cross_follow_ratio,posts_count,comments_count,likes_count,reposts_count,association_weight,association_weight_norm,semantic_ai,pagerank,grey_relation,quanzhong_score,location,website,joinedDate,verified
1,Soumith Chintala,soumithchintala,founder,Co-creator of PyTorch,279783,1186,99,80,19,15,0.789474,1,0,0,0,16.09407,0.781881,0.375,0.01745205,0.657842,0.688852,New York City,http://soumith.ch,Sep 2009,blue
2,NVIDIA Newsroom,nvidianewsroom,company,NVIDIA News,49127,36,54,24,30,23,0.766667,1,0,0,0,20.578193,1.0,0.0,0.00915605,0.583029,0.687272,,https://nvidianews.nvidia.com/,Mar 2025,blue
3,NVIDIA,nvidia,company,GPU & AI Computing,2435436,48,54,21,33,20,0.606061,1,0,0,0,19.092587,0.927737,0.125,0.00512025,0.573598,0.662133,"Santa Clara, CA",https://www.nvidia.com,Jul 2009,blue
4,Oriol Vinyals,OriolVinyalsML,researcher,Research Scientist at Google DeepMind,195505,86,70,37,33,16,0.484848,1,0,0,0,14.797724,0.718824,0.75,0.00763295,0.569661,0.606952,"London, England",https://scholar.google.com/citations?user=NkzyCvUAAAAJ&hl=en,Oct 2015,blue
5,Lucas Beyer (bl16),giffmana,researcher,Research Scientist at Google,123506,562,70,55,15,11,0.733333,1,0,0,0,12.168699,0.590942,0.625,0.01393012,0.55608,0.564796,"Zürich, Suisse",http://lucasb.eyer.be,Dec 2013,blue
6,Hugging Face,huggingface,company,AI/ML Platform,619739,217,52,28,24,16,0.666667,1,0,0,0,14.404578,0.699701,0.25,0.00659023,0.51027,0.557628,NYC and Paris and 🌏,https://huggingface.co,Sep 2016,blue
7,Aran Komatsuzaki,arankomatsuzaki,researcher,AI Researcher,158431,318,74,52,22,10,0.454545,1,0,0,0,11.378138,0.552487,0.625,0.01151735,0.525492,0.532241,,https://arankomatsuzaki.wordpress.com/about-me/,Nov 2016,blue
8,Sasha Rush,srush_nlp,researcher,Professor at Cornell,75445,517,64,48,16,11,0.6875,1,0,0,0,11.484258,0.557649,0.25,0.01191497,0.504039,0.517442,"New York, NY",http://rush-nlp.com,Dec 2015,blue
9,Yann LeCun,ylecun,researcher,Chief AI Scientist at Meta,1029016,773,64,44,20,8,0.4,1,0,0,0,8.368645,0.406098,0.875,0.01199799,0.55106,0.514819,New York,http://yann.lecun.com,Jun 2009,blue
10,Peter Steinberger 🦞,steipete,founder,Polyagentmorous ClawFather,263858,2197,37,35,2,2,1.0,1,0,0,0,2.461114,0.118742,0.125,0.03420077,0.623022,0.496952,Vienna & London,https://steipete.me,Mar 2009,blue
11,Sebastian Raschka,rasbt,researcher,Professor,389642,1122,46,28,18,9,0.5,0,0,0,0,9.473723,0.459852,0.75,0.00767242,0.500924,0.490656,,https://sebastianraschka.com,Oct 2012,blue
12,Rosanne Liu,savvyRL,founder,Google,49438,1031,60,43,17,9,0.529412,0,0,0,0,10.280553,0.499098,0.375,0.01000521,0.478322,0.483516,"San Francisco, CA",https://rosanneliu.com/,Mar 2013,
13,Wojciech Zaremba,woj_zaremba,researcher,Co-founder at OpenAI,132312,213,60,38,22,9,0.409091,0,0,0,0,10.4316,0.506445,0.25,0.00880982,0.467178,0.476995,"San Francisco, CA",,Mar 2018,blue
14,Julien Chaumond,julien_c,founder,Co-founder at Hugging Face,68444,1186,39,23,16,10,0.625,0,0,0,0,10.620635,0.51564,0.25,0.0058913,0.455598,0.470609,Paris / New York,https://huggingface.co,Sep 2008,blue
15,Jeremy Howard,jeremyphoward,researcher,Founder at fast.ai,270690,6373,47,35,12,8,0.666667,0,0,0,0,9.30375,0.451584,0.25,0.00886199,0.471981,0.466882,"Brisbane/Queensland, Australia",http://answer.ai,Aug 2010,blue
16,clem 🤗,ClementDelangue,founder,CEO at Hugging Face,194312,4811,52,27,25,9,0.36,0,0,0,0,10.354055,0.502673,0.125,0.00626541,0.451703,0.464445,Miami / New York / Paris,http://huggingface.co/clem,Sep 2010,blue
17,Google DeepMind,GoogleDeepMind,company,AI Research Lab,1331053,281,58,33,25,8,0.32,0,0,0,0,8.374827,0.406399,0.5,0.00783921,0.483288,0.464066,"London, UK",http://deepmind.google,Jan 2016,
18,Anthropic,AnthropicAI,company,AI Safety Company,808848,35,48,34,14,8,0.571429,0,0,0,0,7.769659,0.376962,0.375,0.01622716,0.488386,0.46053,,https://anthropic.com,Jan 2021,blue
19,Gautam Kamath,thegautamkamath,researcher,Professor at Waterloo,61042,598,30,20,10,9,0.9,0,0,0,0,8.153388,0.395628,0.25,0.00587164,0.479304,0.458385,"Waterloo, Ontario",http://www.gautamkamath.com,Dec 2009,
